label,text
1,"I knew Delsey was high quality. The quality is just what I wanted, just the right amount. I bought this for my son, who lives in the North Dakota area. He's 5'3"" and 175lbs, and this size fits him perfectly. He loves the color and the fit. He's been wearing it all summer and it's a great summer dress. He has had it for a few months and wears it all the time. He loves it!I bought this for my son, who lives in the North Dakota area. He's 5'3"" and 155lbs, and this fits him perfectly. He loves the color and the fit. He's got a wide foot and he says it's a nice dress for him. It's also a little loose around the heel, which is great. The material is soft and comfortable. I'm hoping this will last a long time. He says that he likes the look and the fit of this dress. It's made of stretchy material and it's very comfortable. He's very pleased with the quality and the fit. I'd recommend this dress to anyone. It's very flattering and it's made well. He wears it every day."
0,"After using the lightweight Anti-Bark Dog Collar for two weeks, our 8# Maltese has almost learned that his random barking is unacceptable. Usually he will only bark once, but stops when he hears the tone sound. And only once did he bark twice, only to hear the tone sound twice. He has never barked three times to receive the tingling vibration. Consequently, he is very calm now and seems happier, too."
0,"Received the product in a timely manner.  It does have to be cut to size, but once done, it did the job."
0,"Works perfectly for isolating Platy fry (or any fry) from the parents. I love that goes in the tank and doesnt hang off the side.  I wouldnt use this as an isolation tank for the pregnant fish to give birth in. I wouldnt use ANY isolation tank for birth. I think this method is too stressful for the expecting mom. I let her have the babies in the main tank and then I put the fry in here after they're born. I would definitely recommend it. I am purchasing another one!"
1,"This review is of the actual size and design of this item. The actual dimensions are just the same as the picture. The ""large"" is a bit larger than I expected but it's well made and will last a long time. This is a great product and should last a long time. I did get a medium but the one I received was a bit larger than I expected. I'm sure it's just a manufacturing error. I'm not sure if this is a fault of the seller, or the actual size of the item. I'm sure it's just a mistake that was made by the manufacturer. I will say, I'll buy this again. If I ever need another size for my cat I'll order a medium. I'll say, it's not the best cat toy but it's good for him. My dog is a big chewer and I thought this would be a good toy for him. Unfortunately, he was just too big for my 18 pound dog."
1,Replaced 10 halogen bulb in my house and the light stays on all night for a very long time.I bought this to replace the old one that was running out of batteries.  This is a very well made flashlight.  I am very pleased with the quality of the product.  I received a 2 pack
1,Liked these so much I bought a second pair. Very good quality. Nice bag.
1,"Our grandsons loved the duplo, and the pieces were a hit.  This is a great set"
1,A funny yet touching movie that will make you laugh. I saw it for the first time last night
1,"If you were expecting the usual action and action scenes in this movie, this is the movie you are looking for.  The movie is a bit cheesy, but the action is very good.  The only complaint I have is that the story is very long and the movie starts out slow.  I found it a bit short and I would recommend to anyone who is a fan of the show.  It is a fun movie to watch and you will be glad you did.  If you want to see more of the action, then you will"
1,"We have an 80-pound dog. We have a medium-size dog and a small dog. Both of them have chewed through the plastic, but they're still alive, so it's pretty easy to keep them alive. Our pup eats it up. This is a great product for the price. I love this collar!  I have had many collars with a strong lead collar. My dogs love to chew on the lead and they do so with a good amount of success."
0,"I love when the 'scientist' says, ""Time travel comes down this: either we are standing still and time is moving, or time is standing still, and we are moving. Either way ... .""  What? Time standing still and we are moving? Hilarious."
0,Excellent in every way. Great service from the manufacturer. Good videos online to make custom adjustments.
1,"My wife and I have been using the wide wooden legs for a long time, and this one is a great solution. The plastic parts are very sturdy, and the holes are very large. I have had no issues with the legs sticking out. I would recommend this to anyone looking for a long wooden leg.  I did have some issues with the opening on the back of the legs, but I will keep it that way. The metal is very sturdy, and I am very pleased with this product. It is very heavy, and does not move around. I would definitely recommend this product to anyone looking for a long wooden leg.I love the concept. It makes a great cup of coffee for my family. I also like the color and the design. It's also a good quality. I wish it had been a little larger, but I haven't found it.Works great!I really like these. They are very soft and soft. I use them to hang a sheet of fabric and they do the job. They are very soft and comfortable to sleep on.I used this on my kitchen counter top.  It works well and was very easy to put together.  It was very easy to put together.  It's also easy to assemble.  I don't know why it didn't get a better rating from Amazon.  I think I'll order it again.It looks great and is perfect for my new kitchen. I am a great fan of the 2 stars!Bought this for my daughter's wedding"
0,"The Kingston 16 gig Data Traveler is a great all around memory stick to have on hand. It is fast enough to copy data to and extract from for everyday use, even large files. I keep 2 on my desk just for file transfer and to use for everyday tasks. Very easy to use and  all computers see them quickly and load them on command. The swivel lid is a nice option as well as I am always losing the caps. I have never had trouble with Kingston memory and will continue to purchase them from Amazon. Nice price, got here in 2 days, great product and great buy."
1,"Like it or not the movie has some good stuff in it.  There is a lot of action and a lot of action.  There is some blood and gore.  There is a lot of gore and blood.  I would recommend it.This movie is excellent. The acting is great. The storyline is good and the directing is great. The story is a little slow at times but overall it is a fun movie. I recommend it.I like a good movie, but this one is a little too loud and hard to follow.  Not for the faint of heart.  Not for the faint of heart.  A must see for any fan of the Mad Max series.  I recommend this movie to everyone who enjoys the Mad Max series.This is an awesome movie and I was really impressed by the quality of the picture and sound.  The actors in this movie are amazing, the movie is not a bad movie but I would say it was a little slow in parts.  The movie is good for the beginner and for the advanced.  I recommend this movie to everyone who likes action movies, suspense,"
0,"We just bought this coffee maker to replace our 15 year old Krups model.  The Krups still works fine, but it was white and various areas were starting to show brown coffee staining. The only feature change we have noticed in 15 years is that now the water comes out in a shower head spread instead of a single drip line.  This model also has a charcoal water filter packet and comes with a permanent gold-tone coffee filter.  We like the looks of this coffee maker and we notice it does not show fingerprints on the plastic coated stainless steel finish.  Some people have commented that their coffee pots drip when they pour and that some lids are hard or impossible to remove for cleaning the lid or the pot.  The pot on this coffee maker does not drip and the lid is easy to remove completely for cleaning.  Finally, we note this coffee maker has a three year manufacturer's warranty.  Hopefully, if ours lasts three years it will also last for fifteen years like our previous Krups.  Update 10/18/13:  After one year of use the lid of our DCC-2650 began to deteriorate.  Apparently the heat and steam from normal brewing caused the clear plastic coating on the lid to begin cracking and crazing.  I have posted two images of the crazed areas. The coffee maker still works perfectly, but the lid is not very attractive on our countertop."
0,Picked a book I knew I couldn't put down to make the transition from old school to digital reading.  It worked.
0,It's very comfortable. I'm always hot so I do have to turn it once in awhile during the night. It's just me....when I do move it just a little it's nice and cool. I've not had any neck issues since it arrived and I slept on it the first time. I can hardly wait to go to bed and put my head on it at night. I would suggest that if you have an issue with any pillow you are using you might want to give this a try.
1,"A fun, sexy adventure!  Not a bad book, just not my cup of tea!I just wanted to read this book and I am glad"
0,"This is actually a nice looking dragon, but rather angry & violent looking to me.  I bought it for a young nephew based upon other reviews from folks who bought it for younger boys. I should have looked a bit more closely at the pictures,  the dragon is for  a 5 year old male is too scary.  I would recommend the forest dragon for younger kids.  This guy is a bit too much for a little kid.  I gave it to an older child who really loved it, but for younger souls the Schleich forest dragon is a bit more appropriate."
0,"Can't give a true feed back for this as got it for my son, but he loves loves it updated for an older version he had a long time and it never let him down"
0,Am using it on a short ultralight rod for artificials on bream and such.  Nice smooth reel for light lines.
0,"This banger was well worth then wait. The Prince brothers are the truth. Cuba  and Oh I need to get it together. I can't believe the both of them. I understand Cuba's concerns, but to take the actions she did may be unforgivable...and Khi's deception is too. Loving Dae now, he has done a 360 and becoming the man he's supposed to be.  Feel bad for Cassidy and hope he does no t go back to jail because of Jourfin. Still think KaeDee's girl is a creep...something not quite right with her. Shan has done it yet again. For this to supposedly be the finale, I see another installment to this sequel. I am Addicted to this series."
0,"These are a perfect compliment to the S&W M&P. The stock sights on the M&P are very good but these made picking up the sight picture so much easier. The installation was easy and only took 15 minutes. The dots are bight and easy to pick up. The price was great, these are Trijicons. If you have an M&P you cannot go wrong getting these."
1,My dog had a reaction to this and started to bleed.  She also had a reaction to the other two.  The vet said it was probably the first time she'd been used to it.  It's not clear how it came about.  I don't know how long it took for
0,Cool color for a girl.  Ive seen others that cover up the back a little better than this one but other than that it does the job
1,"Not often does science provide a more complete picture of a planet than science provides a description of the human body.  This is the most important step in the process of the evolution of the human body.  It is in this book that the authors are going to delve into the evolution of the human body.  They will examine the nature of the human body and the evolution of the human mind.  They will discuss the nature of the human mind and the evolution of the human mind.  They will examine the nature of the human mind and the evolution of the human mind.  These are the topics that the authors have examined so thoroughly in their book.  They will discuss the evolution"
1,You get what you pay for. The quality is good but it's not great.Very nice.
0,"This is the one flashlight you need for all occasions.  Is it bright?  Eye-popping bright!  5 modes including an SOS signal. Only 6"" long, so can fit in a back pocket OK.  Waterproof, although I haven't tested this feature.  Requires just one battery, which happens to be a size 18650 not found readily in the USA.  (But can be ordered with charger from Amazon.) I am really impressed with these CREE LED flashlights.  Forget about the 9-LED flashlights, and any old-model incandescent flashlights!  They just don't compare at all to these CREE lights. WOW!  Amazon ships directly from China; about 2 weeks for delivery.  Always well packaged.  btw, buy extra batteries."
0,"The X-L does not even fit over my dogs head - the sizing is extremely small and had to return. On the positive side, the fabric and quality was beautiful."
0,"Dana Stabenow is one of the handful of authors who has created two great series  This latest addition to her Shugak mysteries lives up to the previous ones.  A delightful read full of her usually wild, wacky, and lovable characters and fast moving plot with surprises."
0,A silly and yet serious book that I gave as a 21st birthday gift.
1,"These locks are very rugged and have the quality and durability of a steel lock. I have one in my bathroom and the other in my office. The locks are easy to install and work great. They are hard to open and close, they can be easily opened and closed. The locks also work well with the bathroom door opener. I have had no issues with these locks so far. They are very bright and easy to use. I am very pleased with these locks. I have had them for about a month now and the light is very strong. They are very bright and I have them on my desk and in my work bag so they don't get lost. I would recommend these locks to anyone looking for a well made lock. I bought these to replace my old faucets and they are great!  I have used them for almost a month now and they are well made and have a very good feel to them. I have used them for many different projects and I am very happy with them."
0,"This is my first Tana French book and would be willing to try another. At first, I thought that the plot was too far-fetched but then the characters developed and could see that something like this might happen. Some nice details in both characters and setting."
0,I love these space men. Especially these hot space men. Got to read this book.
0,I really liked the first five stories. The sixth story felt like it was not finished. I am sure that will be solved in a future set of books. The characters are well written and interesting in most of the stories. And the author wrote about most kinds of paranormal creatures.
1,For the price it is a great watch.  The watch is very light weight and the hour hand
1,"We will not be back to this hotel. There are several reasons for this, but it began at check-in when the staff were very rude and uptight. Our reservation was lost in the system and they seemed to think it was a strain on their time to have to find it. The room was OK, but the beds were hard and uncomfortable. The room next door had their TV turned up very loudly, and when we called to ask if we could change rooms were were told that was not an option. They didn't offer any other solutions. The food in the restaurants was extremely overpriced and not cooked to our requests. Overall, we wish that we had chosen a different hotel for our stay in Chicago."
1,I wear these running outside and have the wide knee pads.  I also have the wide knee pads.
1,"This is the first book in a series by the author I have read that I have been following.  I had a lot of fun with this book and I am definitely looking forward to reading the next one.  I received this book for free in exchange for an honest review.I was looking forward to reading the book, but the last part was so repetitive that I could not get into the book. I am glad I did.I enjoyed this book. I love how the heroine is a strong heroine who is strong. I liked how she was able to fight off the pain and the torment she endured."
1,"My 14 year old daughter loves it and she loves using it in her swimming pool!Very nice.I bought this for a friend, and he is a big fan.  I used it to make a little makeshift bench for a bench for a car.  He has used it for a long time.  He says the bench is a great addition to his bench.  It is made of very thin material and has a nice feel to it.  He says that it is very lightweight and very easy to use.  The included bench does not seem to hold up well to the use.  The material is a bit stiff at first, but it has become stronger over time.  I am hoping this will be a good addition to his bench for the next year.  I will update this review if I see"
0,"First time using this brand, it works beuatifully, initailly used it full length 50 feet and no issue, will be using it in different lengths soon."
1,"You know when you're reading a book you want to just read it. This book is a great way to get started. The author, Danielle Hutton, has created a great story that is worth the wait. It will keep you interested from beginning to end.I enjoyed the series. I love a good mystery with a good twist. I can't wait to see what happens next. I liked the ending. I'm not sure if the next book will be a good one.I have read all of her books and I really enjoy them.  They are about a young woman who has a bad reputation and wants to work for the country.  Her boss, who is a military man, is a guy who does everything to get her into trouble.  She has a few friends and a dog named Paul.  They have a great story line and I would recommend them to anyone.I was really excited to read this book.  I love this series, and this author is a great writer.  I liked the idea of the book, and the way the author tried to take the story along with it.  I will definitely be reading more of her books.  I look forward to reading more of her books.I'm not really sure what to say about"
0,"It is definitely a change up from the old Sorry, but it is still fun! It is a great game for younger kids to help with learning counting and following rules! Might get a little boring for older kids, but my 7 year old little cousin loved it! I might help to offer the older version everyone knows and loves as well as this one for the people who don't like the change."
0,"I bought this for my daughter at a local dollar store(don't pay more than 10 for it in 2011, they've got them again this year) last year. Due to lack of batteries(3 Ds- we kept using them in our son's crib soother) and me kind of forgetting that it was up in the cupboard, we didn't use it for months and months. But we got it out the other night and she had an absolute blast with it. Yes, the pegs don't stick very well due to the truncated ends, if they'd put another quarter inch on the tapered part, they'd be fine. It uses 6 3/4 inch square pieces of paper- we're going to see if we can find some heavy origami paper to use with it because the refills are expensive.  Keep in mind that there is no off switch, it's timed and turns itself off every few minutes, it's easily turned back on by pushing the button located just above the peg storage.  Even with it's faults- it's all plastic, pegs don't stick, I still think it's a good product, just needs some tweaking. Some people say they have problems with the peg holder, which is semi circular tube shaped, you rotate it to get the opening out, but we haven't had any. I taught my daughter(who will be five in 2 months) that it's gotta be flat in order to open the pegs, and she can do it herself, as well as close it up.  In fact, if you overlook the cost of refills or having to cut construction paper to fit, it's an excellent product for the price I paid. It lets her be creative and not messy, and helps her patience level lol."
1,Bought this for a tea party.  It's a good size and looks great in my kitchen
1,"Precious hat. A southern classic. Not an everyday hat, but I will keep it."
0,Bought to watch with my son. no issues mailed to me fast every part of this went well :) great
1,"It really worked well for me. The only problem is that it takes a little getting used to. I had to replace a couple of the TV's, so it should work fine. I had no issues with this camera. The one I had was a bit large and not the best. It is a bit smaller than I thought it would be, but I was able to get it to fit my new Sony A50 camera and it works great. It's very easy to use and holds the camera securely. The only thing I wish it had was a little more feel."
1,"I purchased this to install on my Taurus 10x45. This is the first one I have used. The front sight is very clear, and the rear sight is pretty straight. I have not had any problems with this one."
1,"We live rural and use a lot of electricity and these bulbs are great for that. I just purchased a pair of these and am happy with the results.I bought this to replace a broken saw.  It is a good value, and it works as advertised.  I would definitely buy again.  I have a few of these in the house and they are a great deal.  I just installed them with the original saw and they are very smooth and accurate.  I have not used them yet, but I am sure they will last a very long time."
1,"These work fine in my kitchen. The only problem is that it comes with a small screw driver.  I had to replace the driver with a different one, so it is not a big deal.  The light is a bit large for my tastes, but it is not going to get in the way of the sink.  I have not used the CFL light yet, but I will probably order another one as it is cheaper and more convenient."
1,"This thing is indestructible, my dog has never been able to scratch it."
0,My son put these on his baseball cleats.
1,pretty  as expected but it has the wide width which is perfect.  The heel is just right
0,"It is very cute, and daughter will receive this Valentine's Day.  Just be sure to check what size toy you are ordering.  I was expecting it to be bigger.  Just shows what happens when you look at too many different options - easy to get confused.  Not the product's fault though."
